TestNr.;Age;Female;Hearing;Blindfold?;ReactionTime;SoundName;SoundMood;SpeakerNr;Precision
1;27;False;7;True;2.457;Monster growl;Negative;8;2
1;27;False;7;True;4.397;Stikkontakt;Neutral;7;1
1;27;False;7;True;15.15;Announcement;Positive;8;0
1;27;False;7;True;0.000;Glass Breaking;Negative;8;5
1;27;False;7;True;2.744;Chatter;Neutral;5;1
1;27;False;7;True;1.134;Harp floursih;Positive;2;1
1;27;False;7;True;1.067;Man scream;Negative;7;-5
1;27;False;7;True;12.66;HipHop beat;Neutral;5;4
1;27;False;7;True;5.392;Level complete;Positive;7;2
1;27;False;7;True;6.057;Girl Scream;Negative;5;-5
1;27;False;7;True;0.455;Skrivemaskine;Neutral;6;0
1;27;False;7;True;2.396;Uprise;Positive;5;-1
1;27;False;7;True;3.276;Weirdo scream;Negative;2;1
1;27;False;7;True;13.52;Kuglepen;Neutral;7;0
1;27;False;7;True;8.545;applaus;Positive;1;-2
