TestNr.;Age;Female;Hearing;Blindfold?;ReactionTime;SoundName;SoundMood;SpeakerNr;Precision
2;25;False;7;True;1.720;Man scream;Negative;6;-5
2;25;False;7;True;8.614;Stikkontakt;Neutral;1;1
2;25;False;7;True;0.0;Uprise;Positive;2;0
2;25;False;7;True;20.41;Weirdo scream;Negative;5;-3
2;25;False;7;True;4.246;Chatter;Neutral;8;-2
2;25;False;7;True;4.931;applaus;Positive;2;-2
2;25;False;7;True;6.457;Monster growl;Negative;1;-3
2;25;False;7;True;1.126;Skrivemaskine;Neutral;2;-4
2;25;False;7;True;1.126;Harp floursih;Positive;5;1
2;25;False;7;True;9.325;Glass Breaking;Negative;8;-3
2;25;False;7;True;15.70;Kuglepen;Neutral;6;-4
2;25;False;7;True;1.254;Level complete;Positive;2;-3
2;25;False;7;True;6.116;Girl Scream;Negative;8;-4
2;25;False;7;True;5.649;HipHop beat;Neutral;2;-5
2;25;False;7;True;4.195;Announcement;Positive;2;2
