TestNr.;Age;Female;Hearing;Blindfold?;ReactionTime;SoundName;SoundMood;SpeakerNr;Precision
5;23;False;7;False;9.548;Weirdo scream;Negative;8;2
5;23;False;7;False;7.181;Stikkontakt;Neutral;1;5
5;23;False;7;False;6.454;Level complete;Positive;1;-3
5;23;False;7;False;1.715;Monster growl;Negative;2;0
5;23;False;7;False;3.379;HipHop beat;Neutral;5;4
5;23;False;7;False;1.335;applaus;Positive;7;-3
5;23;False;7;False;6.659;Glass Breaking;Negative;7;-5
5;23;False;7;False;2.254;Skrivemaskine;Neutral;6;-5
5;23;False;7;False;3.083;Announcement;Positive;2;-5
5;23;False;7;False;6.187;Girl Scream;Negative;7;5
5;23;False;7;False;8.904;Kuglepen;Neutral;6;2
5;23;False;7;False;1.518;Harp floursih;Positive;5;1
5;23;False;7;False;1.132;Man scream;Negative;7;-5
5;23;False;7;False;3.876;Chatter;Neutral;2;2
5;23;False;7;False;0.217;Uprise;Positive;2;0
