TestNr.;Age;Female;Hearing;Blindfold?;ReactionTime;SoundName;SoundMood;SpeakerNr;Precision
9;25;False;7;True;1.657;Monster growl;Negative;2;0
9;25;False;7;True;13.69;Kuglepen;Neutral;6;5
9;25;False;7;True;30.00;Uprise;Positive;5;-1
9;25;False;7;True;4.379;Girl Scream;Negative;8;-1
9;25;False;7;True;2.112;Skrivemaskine;Neutral;2;-4
9;25;False;7;True;5.704;Announcement;Positive;8;5
9;25;False;7;True;11.03;Glass Breaking;Negative;6;-3
9;25;False;7;True;7.345;Stikkontakt;Neutral;8;5
9;25;False;7;True;11.28;Level complete;Positive;5;3
9;25;False;7;True;2.122;Man scream;Negative;6;-5
9;25;False;7;True;10.42;Chatter;Neutral;5;3
9;25;False;7;True;2.376;applaus;Positive;5;1
9;25;False;7;True;27.16;Weirdo scream;Negative;6;1
9;25;False;7;True;5.669;HipHop beat;Neutral;1;-3
9;25;False;7;True;0.505;Harp floursih;Positive;1;4
