TestNr.;Age;Female;Hearing;Blindfold?;ReactionTime;SoundName;SoundMood;SpeakerNr;Precision
16;23;False;4;False;6.583;Glass Breaking;Negative;5;-1
16;23;False;4;False;2.405;Stikkontakt;Neutral;1;0
16;23;False;4;False;9.730;Level complete;Positive;5;-4
16;23;False;4;False;2.940;Weirdo scream;Negative;1;2
16;23;False;4;False;2.334;Chatter;Neutral;8;3
16;23;False;4;False;0.0;Announcement;Positive;8;3
16;23;False;4;False;0.982;Monster growl;Negative;5;-1
16;23;False;4;False;1.327;Kuglepen;Neutral;6;-5
16;23;False;4;False;0.0;Uprise;Positive;7;0
16;23;False;4;False;3.824;Girl Scream;Negative;8;-5
16;23;False;4;False;1.618;Skrivemaskine;Neutral;5;-5
16;23;False;4;False;3.637;applaus;Positive;5;-3
16;23;False;4;False;1.114;Man scream;Negative;5;3
16;23;False;4;False;1.026;HipHop beat;Neutral;2;1
16;23;False;4;False;0.917;Harp floursih;Positive;2;1
